frame_id,pts_ns,metadata_lost,kind,x,y,width,height,initialized,confidence,class_id
0,0,False,nanotrack,303,234,46,48,1,,
1,50000000,False,nanotrack,304,234,45,50,0,1,
2,100000000,False,nanotrack,304,234,45,49,0,0.999998,
3,150000000,False,nanotrack,304,233,44,50,0,0.999998,
4,200000000,False,nanotrack,304,232,43,50,0,0.999996,
5,250000000,False,nanotrack,303,230,43,51,0,0.999998,
6,300000000,False,nanotrack,303,230,43,51,0,0.999999,
7,350000000,False,nanotrack,300,230,43,51,0,0.999998,
8,400000000,False,nanotrack,301,232,43,50,0,0.999999,
9,450000000,False,nanotrack,298,232,44,49,0,0.999999,
10,500000000,False,nanotrack,298,232,44,49,0,0.999999,
11,550000000,False,nanotrack,296,232,45,49,0,0.999999,
12,600000000,False,nanotrack,297,231,45,49,0,0.999999,
13,650000000,False,nanotrack,297,229,44,50,0,0.999999,
14,700000000,False,nanotrack,297,228,44,50,0,0.999999,
15,750000000,False,nanotrack,297,228,43,50,0,0.999998,
16,800000000,False,nanotrack,296,227,43,50,0,0.999997,
17,850000000,False,nanotrack,296,226,43,49,0,0.999998,
18,900000000,False,nanotrack,296,225,42,49,0,0.999998,
19,950000000,False,nanotrack,295,223,42,50,0,0.999998,
20,1000000000,False,nanotrack,293,224,43,49,0,0.999999,
21,1050000000,False,nanotrack,293,224,43,48,0,0.999998,
22,1100000000,False,nanotrack,292,224,43,48,0,0.999998,
23,1150000000,False,nanotrack,291,223,43,48,0,0.999998,
24,1200000000,False,nanotrack,290,222,44,47,0,0.999998,
25,1250000000,False,nanotrack,289,222,43,47,0,0.999999,
26,1300000000,False,nanotrack,290,222,42,47,0,0.999999,
27,1350000000,False,nanotrack,291,220,42,47,0,0.999999,
28,1400000000,False,nanotrack,292,218,41,47,0,0.999999,
29,1450000000,False,nanotrack,293,218,41,46,0,0.999998,
30,1500000000,False,nanotrack,292,215,41,47,0,0.999999,
31,1550000000,False,nanotrack,292,214,40,47,0,0.999999,
32,1600000000,False,nanotrack,293,214,40,46,0,0.999999,
33,1650000000,False,nanotrack,292,214,40,46,0,0.999998,
34,1700000000,False,nanotrack,291,214,40,45,0,0.999998,
35,1750000000,False,nanotrack,291,212,40,45,0,0.999998,
36,1800000000,False,nanotrack,289,212,41,44,0,0.999998,
37,1850000000,False,nanotrack,290,213,40,43,0,0.999997,
38,1900000000,False,nanotrack,291,212,39,42,0,0.999999,
39,1950000000,False,nanotrack,292,210,38,42,0,0.999999,
40,2000000000,False,nanotrack,292,206,38,43,0,0.999999,
41,2050000000,False,nanotrack,292,207,38,42,0,0.999998,
42,2100000000,False,nanotrack,291,203,38,42,0,0.999999,
43,2150000000,False,nanotrack,291,202,38,43,0,0.999999,
44,2200000000,False,nanotrack,291,202,38,43,0,0.999998,
45,2250000000,False,nanotrack,291,204,39,40,0,0.999996,
46,2300000000,False,nanotrack,290,202,39,40,0,0.999999,
47,2350000000,False,nanotrack,289,203,39,38,0,0.999997,
48,2400000000,False,nanotrack,288,201,40,38,0,0.999997,
49,2450000000,False,nanotrack,289,200,38,38,0,0.999998,
50,2500000000,False,nanotrack,289,198,38,39,0,0.999998,
51,2550000000,False,nanotrack,290,196,37,38,0,0.999998,
52,2600000000,False,nanotrack,290,195,37,38,0,0.999998,
53,2650000000,False,nanotrack,289,192,38,39,0,0.999998,
54,2700000000,False,nanotrack,288,192,37,39,0,0.999997,
55,2750000000,False,nanotrack,287,192,38,38,0,0.999997,
